account.addcreditcard,Add a Credit Card,1
account.aspx.1,There was an error saving your account profile. Please try again.,1
account.aspx.10,Your {0} Balance is: <b>{1}</b>,1
account.aspx.100,Save,1
account.aspx.101,Cancel,1
account.aspx.102,Remove,1
account.aspx.103,Edit,1
account.aspx.104,Add Payment Type,1
account.aspx.105,You have no saved cards in your wallet.,1
account.aspx.11,MicroPay,1
account.aspx.12,Your account information is used to login to the site. Please save your password in a safe place.,1
account.aspx.13,*Your First Name:,1
account.aspx.14,*Your Last Name:,1
account.aspx.15,*Your E-Mail:,1
account.aspx.16,Please enter your e-mail address,1
account.aspx.17,Please enter a valid e-mail address,1
account.aspx.18,*Create a Personal Password:,1
account.aspx.19,(at least 5 characters long),1
account.aspx.2,Your account has been updated.,1
account.aspx.20,Please enter a password so you can login to this site at a later time,1
account.aspx.21,*Re-Enter Your Password:,1
account.aspx.22,Please re-enter your password,1
account.aspx.23,*Phone:,1
account.aspx.24,*OK To EMail:,1
account.aspx.25,Yes,1
account.aspx.26,No,1
account.aspx.27,"(Can we contact you with product updates/information, etc.)",1
account.aspx.28,Update Account,1
account.aspx.29,Your primary billing and shipping addresses are shown below:,1
account.aspx.3,"Your account has been updated, but your e-mail address was not changed...there is already another registered user with that e-mail address.",1
account.aspx.30,My Primary Billing Address,1
account.aspx.31,Payment Method:,1
account.aspx.32,My Primary Shipping Address,1
account.aspx.33,Shipping Method:,1
account.aspx.34,ORDER/BILLING HISTORY,1
account.aspx.35,You have active recurring (auto-ship) orders:,1
account.aspx.36,Order Number,1
account.aspx.37,(Click For Receipt),1
account.aspx.38,Order Date,1
account.aspx.39,Payment Status,1
account.aspx.4,View Your Order/Billing History,1
account.aspx.40,Shipping Status,1
account.aspx.41,Order Total,1
account.aspx.42,Customer Service Notes,1
account.aspx.43,Payment Method:,1
account.aspx.44,PayPal,1
account.aspx.45,Credit Card,1
account.aspx.46,Cleared On:,1
account.aspx.47,Pending,1
account.aspx.48,Shipped,1
account.aspx.49,via,1
account.aspx.5,You have a current site subscription. Your subscription expires on: {0},1
account.aspx.50,on,1
account.aspx.51,Tracking Number:,1
account.aspx.52,Not Yet Shipped,1
account.aspx.53,Download Files Not Released Yet,1
account.aspx.53a,Download Files Were Released on {0},1
account.aspx.54,REQUEST FOR QUOTE,1
account.aspx.55,No orders found,1
account.aspx.56,Account & Order History,1
account.aspx.57,Re-Order,1
account.aspx.58,View your Wishlist,1
account.aspx.6,You must enter at least one of First Name or Last Name.,1
account.aspx.60,Continue Checkout,1
account.aspx.61,Back To Account,1
account.aspx.62,Add Another Shipping Address,1
account.aspx.63,Add Another Billing Address,1
account.aspx.64,Are you sure you want to re-order this order?,1
account.aspx.65,Save My Credit Card Info,1
account.aspx.66,Change Your Password:,1
account.aspx.67,Confirm Your Password Change:,1
account.aspx.68,The new passwords do not match!,1
account.aspx.69,"The new password you created is not a strong password. Please make sure that your password is at least 8 characters long and includes at least one upper case character, one lower case character, one number, and one ""symbol"" character (e.g. ?,&,#,$,%,etc).",1
account.aspx.7,Please enter at least 5 characters for your password.,1
account.aspx.70,You have recurring orders that require your credit card info to be kept on file even if you turn this option off.,1
account.aspx.71,Qualify for zero-rate purchases? Enter your VAT ID here:,1
account.aspx.72,Invalid VAT Registration ID or NO primary shipping address is defined to determine VAT Country!,1
account.aspx.73,You need to have at least one Billing Address and one Shipping Address to complete checkout.  Please add the appropriate addresses below.,1
account.aspx.74,Your password cannot be all spaces.,1
account.aspx.75,Please enter first name,1
account.aspx.76,Please enter last name,1
account.aspx.77,Please enter your email address,1
account.aspx.78,Please enter your valid email address,1
account.aspx.79,Phone Number is Required,1
account.aspx.8,"Your passwords do not match, Please make sure your password is re-entered properly.",1
account.aspx.87,Make This My Primary Billing Address,1
account.aspx.88,Make This My Primary Shipping Address,1
account.aspx.89,Your Primary Billing Address,1
account.aspx.9,NOTE: You are a member of the <b>{0}</b> group.,1
account.aspx.90,Your Primary Shipping Address,1
account.aspx.91,Registration ID did not pass validation,1
account.aspx.92,You must have a billing address configured before you can add a credit card to your account.,1
account.aspx.93,Credit Card Number:,1
account.aspx.94,Expiration Date:,1
account.aspx.95,Select Value,1
account.aspx.96,Card Security Code:,1
account.aspx.97,Billing Address:,1
account.aspx.98,Select Address,1
account.aspx.99,Make primary card,1
account.creditcardprompt,Card Number,1
account.expires,Expires,1
account.strongPassword,(at least 8 characters long),1
address.cs.1,"Please select one of the State/Province options. If Outside U.S., select 'Other (Non US)'",1
address.cs.10,*State/Province:,1
address.cs.11,SELECT ONE,1
address.cs.12,*Zip:,1
address.cs.13,Please enter your first name,1
address.cs.14,Please enter your last name,1
address.cs.15,Please enter your phone number,1
address.cs.16,Please enter your street address,1
address.cs.17,Please enter your city,1
address.cs.17a,Please enter your country,1
address.cs.18,Please enter your zipcode,1
address.cs.19,Please select the type of credit card you are using.,1
address.cs.2,*First Name:,1
address.cs.20,Please select the expiration month.,1
address.cs.21,Please select the expiration year.,1
address.cs.22,"Please indicate your acceptance of the Terms and Conditions before proceeding. If you need assistance, please contact us.",1
address.cs.23,*Name On Card:,1
address.cs.24,Please enter the name on the credit card,1
address.cs.25,*Credit Card Number:,1
address.cs.26,Please enter credit card number with no spaces,1
address.cs.27,Please enter a valid credit card number,1
address.cs.28,Credit Card Verification Code:,1
address.cs.29,Please enter the credit card verification code with no spaces. This number can be found printed on the back side of your card,1
address.cs.3,*Last Name:,1
address.cs.30,Please enter a valid credit card validation code,1
address.cs.31,*Card Type:,1
address.cs.32,CARD TYPE,1
address.cs.33,*Expiration Date:,1
address.cs.34,MONTH,1
address.cs.35,YEAR,1
address.cs.36,*Name On Account:,1
address.cs.37,Please enter the name on your checking account,1
address.cs.38,*Enter the name of your bank:,1
address.cs.39,"Please enter the name of your bank, e.g. Bank of America, Wells Fargo, etc.",1
address.cs.4,*Phone:,1
address.cs.40,"e.g. Bank of America, Wells Fargo, etc.",1
address.cs.41,*Enter the series of nine numbers <br>on your check <i>between</i> these symbols:,1
address.cs.42,(This is your Bank ABA Number),1
address.cs.43,"Please enter your 9 digit bank routing number, with no spaces, and all leading zeros",1
address.cs.44,*Enter the series of numbers found <br>on your check <i>before</i> this symbol:,1
address.cs.45,(This is your Account Number),1
address.cs.46,"Please enter your checking or savings account number, with no spaces and all leading zeros",1
address.cs.47,*Account Type:,1
address.cs.48,"Note: Some banks use a non-standard format in this series of numbers. If your account number includes this symbol <img src=""{0}"" align=""absmiddle"">, simply disregard the symbols and enter this section of numbers.",1
address.cs.49,Nick Name:,1
address.cs.5,Company:,1
address.cs.50,what's this,1
address.cs.51,My Primary Shipping Address,1
address.cs.52,My Primary Billing Address,1
address.cs.53,Country:,1
address.cs.54,Credit Card,1
address.cs.55,Unknown,1
address.cs.56,Residential,1
address.cs.57,Commercial,1
address.cs.58,Address Type:,1
